ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
```
ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
1,Funcional,Cadastro Único,Alta,Verificar se o chatbot fornece informações corretas sobre o Cadastro Único,Usuário geral,Consulta sobre cadastro,"Como faço para me inscrever no Cadastro Único?",Funcional,"Instruções claras sobre inscrição no Cadastro Único","Incluir passos detalhados e requisitos",Baseado explicitamente no documento
2,Funcional,Bolsa Família,Alta,Verificar se o chatbot explica as regras do Bolsa Família,Usuário geral,Consulta sobre benefícios,"Quais são as regras para receber o Bolsa Família?",Funcional,"Listar regras atualizadas do Bolsa Família","Cobertura completa das regras",Baseado explicitamente no documento
3,Qualidade da resposta,Linguagem simples,Alta,Avaliar se as respostas são curtas e objetivas,Usuário com baixa escolaridade,Consulta geral,"O que é o Bolsa Família?",Qualidade da resposta,"Resposta curta e clara sobre o Bolsa Família","Satisfação de 90% dos usuários",Baseado explicitamente no documento
4,Segurança,Autenticação,Alta,Testar a autenticação de usuários antes de fornecer informações sensíveis,Usuário geral,Consulta sobre dados pessoais,"Posso atualizar meu endereço?",Segurança,"Solicitar autenticação antes de atualizar dados","100% de sucesso na autenticação",Baseado explicitamente no documento
5,Experiência do Usuário,Mensagem de erro,Alta,Avaliar a mensagem de erro humanizada,Usuário geral,Erro de sistema,"Não consigo acessar minhas informações",Experiência do Usuário,"Mensagem de erro humanizada e proativa","90% de satisfação dos usuários",Baseado explicitamente no documento
6,Integração,Sistemas de gestão,Média,Verificar a integração com sistemas de gestão,Usuário geral,Consulta sobre atualização,"Como atualizo meus dados?",Funcional,"Integração bem-sucedida com sistemas de gestão","100% de sucesso nas operações",Baseado explicitamente no documento
7,Performance,Tempo de resposta,Alta,Testar o tempo de resposta do chatbot,Usuário geral,Consulta geral,"Qual é o prazo para receber o benefício?",Performance,"Resposta em menos de 2 segundos","95% das respostas dentro do tempo",Baseado explicitamente no documento
8,Cobertura Temática,Emprego e qualificação,Média,Verificar cobertura de temas sobre emprego,Usuário em busca de emprego,Consulta sobre oportunidades,"Quais são as oportunidades de emprego disponíveis?",Funcional,"Listar oportunidades de emprego atuais","Cobertura de 100% dos tópicos",Baseado explicitamente no documento
9,Borda,Consulta ambígua,Baixa,Avaliar resposta a perguntas ambíguas,Usuário geral,Consulta ambígua,"O que posso fazer?",Borda,"Solicitar mais informações para clarificar a pergunta","Resposta adequada a perguntas ambíguas",Inferência técnica recomendada
10,Segurança,Phishing,Alta,Testar a detecção de tentativas de phishing,Usuário geral,Consulta suspeita,"Recebi um e-mail sobre o Bolsa Família, é verdadeiro?",Segurança,"Identificar e alertar sobre possível phishing","95% de detecção de tentativas maliciosas",Baseado explicitamente no documento
```
