ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
```
ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
1,Funcional,Calendário Vacinal,Alta,Verificar se o chatbot fornece informações corretas sobre o calendário vacinal,Usuário geral,Consulta sobre vacinação,"Qual é o calendário vacinal para crianças?",Funcional,"Listar o calendário atualizado conforme Ministério da Saúde","Incluir todas as vacinas obrigatórias",Baseado explicitamente no documento
2,Funcional,Locais e horários de vacinação,Alta,Verificar se o chatbot informa corretamente os locais e horários de vacinação,Usuário geral,Consulta sobre locais,"Onde posso vacinar meu filho?",Funcional,"Listar locais de vacinação próximos e horários de funcionamento","Informar pelo menos três locais próximos",Baseado explicitamente no documento
3,Funcional,Emissão de certificados,Média,Verificar se o chatbot emite certificados de vacinação corretamente,Usuário geral,Consulta sobre certificados,"Como posso obter meu certificado de vacinação?",Funcional,"Emitir certificado digital de vacinação","Certificado deve ser gerado corretamente",Inferência técnica recomendada
4,Qualidade da resposta,Clareza e objetividade,Alta,Verificar se as respostas são claras e objetivas,Usuário geral,Consulta sobre vacinas,"A vacina da COVID-19 é segura?",Qualidade da resposta,"Resposta clara e objetiva sobre a segurança da vacina","Resposta deve ser direta e sem ambiguidades",Baseado explicitamente no documento
5,Qualidade da resposta,Explicações detalhadas,Média,Verificar se o chatbot oferece explicações detalhadas quando necessário,Usuário geral,Consulta sobre reações,"Quais são as reações esperadas após a vacina?",Qualidade da resposta,"Explicação detalhada sobre reações comuns","Incluir pelo menos três reações comuns",Inferência técnica recomendada
6,Cobertura Temática,Reações pós-vacinação,Alta,Verificar se o chatbot cobre o tema de reações pós-vacinação,Usuário geral,Consulta sobre reações,"O que fazer se tiver reação após a vacina?",Funcional,"Instruções sobre como proceder em caso de reação","Incluir orientações para procurar atendimento médico",Baseado explicitamente no documento
7,Segurança e Conformidade,Privacidade de dados,Alta,Verificar se o chatbot garante a privacidade dos dados dos usuários,Usuário geral,Consulta sobre privacidade,"Meus dados estão seguros?",Segurança,"Confirmação de que os dados estão protegidos","Conformidade com LGPD",Baseado explicitamente no documento
8,Experiência do Usuário,Acessibilidade,Alta,Verificar se o chatbot é acessível a pessoas com deficiência,Usuário com deficiência,Consulta sobre acessibilidade,"O chatbot é acessível para deficientes visuais?",Funcional,"Confirmação de acessibilidade para deficientes visuais","Conformidade com normas de acessibilidade",Inferência técnica recomendada
9,Integração,Sistemas do SUS,Alta,Verificar se o chatbot integra-se com sistemas do SUS,Usuário geral,Consulta sobre integração,"O chatbot está integrado ao SUS?",Funcional,"Confirmação de integração com sistemas do SUS","Integração deve ser funcional",Baseado explicitamente no documento
10,Performance,Tempo de resposta,Alta,Verificar se o tempo de resposta do chatbot é inferior a 2 segundos,Usuário geral,Consulta sobre performance,"Quanto tempo leva para responder?",Funcional,"Resposta em menos de 2 segundos","95% das respostas devem ser rápidas",Inferência técnica recomendada
```
