question,received_answer,expected_answer,tema,flag_original,flag_synthetic,flag_typo_injected,flag_informal,latency,type,score,tool
 Posso ter informações sobre a minha situação vacinal no Meu SUS Digital?,"Sim, é possível consultar informações sobre a sua situação vacinal no Meu SUS Digital. Essa plataforma oficial do Ministério da Saúde permite acessar o seu cartão de vacinação digital, com o registro das vacinas aplicadas.

Você pode acessar o Meu SUS Digital pelo site ou pelo aplicativo disponível para dispositivos Android e iOS.

Se precisar de mais detalhes sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Deseja saber como acessar ou utilizar o Meu SUS Digital?","O Meu SUS Digital é um aplicativo oficial do Ministério da Saúde que visa facilitar o acesso às informações sobre saúde. Este aplicativo possibilita o acesso à Caderneta de Vacinação digital. O Meu SUS Digital está disponível nas versões para Web e em aplicativo iOS e Android. Para maiores informações, procure a unidade básica de saúde ou consulte os links <https://www.gov.br/saude/pt-br/vacinacao>; <https://meususdigital.saude.gov.br/login>.",Informações Gerais,1,0,0,0,18.03,factual_correctness(mode=f1),0.7,ragas
 Posso ter infos sobre a minha situação vacinal no Meu SUS Digital?,"Sim, você pode consultar sua situação vacinal pelo Meu SUS Digital, tanto pelo aplicativo quanto pelo site. Essa plataforma do Ministério da Saúde permite acessar sua carteira de vacinação digital, onde constam as vacinas registradas no seu nome.

Se quiser acessar, basta entrar em https://meususdigital.saude.gov.br/login.

Se precisar de mais informações sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","O Meu SUS Digital é um aplicativo oficial do Ministério da Saúde que visa facilitar o acesso às informações sobre saúde. Este aplicativo possibilita o acesso à Caderneta de Vacinação digital. O Meu SUS Digital está disponível nas versões para Web e em aplicativo iOS e Android. Para maiores informações, procure a unidade básica de saúde ou consulte os links <https://www.gov.br/saude/pt-br/vacinacao>; <https://meususdigital.saude.gov.br/login>.",Informações Gerais,1,1,0,0,18.57,factual_correctness(mode=f1),0.71,ragas
A Farmácia Popular disponibiliza anticoncepcionais?,"Sim, o Programa Farmácia Popular disponibiliza anticoncepcionais em sua lista de medicamentos. Entre os anticoncepcionais oferecidos, estão:

Acetato de medroxiprogesterona 150 mg/ml
Etinilestradiol 0,03 mg + levonorgestrel 0,15 mg
Noretisterona 0,35 mg
Valerato de estradiol 5 mg + enantato de noretisterona 50 mg

Lembrando que a dispensação desses medicamentos deve ser feita com prescrição médica.

Se quiser saber mais detalhes sobre outros medicamentos ou benefícios do Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Sim. Os anticoncepcionais na função de contraceptivos integram o elenco do Programar. O elenco atual inclui:acetato de medroxiprogesterona 150 mg / ml, etinilestradiol 0,03 mg + levonorgestrel 0,15 mg, noretisterona 0,35mg e  valerato de estradiol 5mg + enantato de noretisterona 50mg

",Elenco de Medicamentos e Patologias,0,1,0,0,16.53,factual_correctness(mode=f1),0.91,ragas
A VPC20 (vacina pneumocócica conjugada 20-valente) imuniza contra q doença?,"A vacina pneumocócica conjugada vinte-valente (VPC20) protege contra doenças causadas pela bactéria Streptococcus pneumoniae (pneumococo). Essa vacina cobre vinte sorotipos diferentes do pneumococo, ajudando a prevenir doenças como:

Pneumonia
Meningite
Otite média aguda
Sinusite
Sepse (infecção generalizada)

Além disso, a VPC20 contribui para evitar as graves sequelas que podem ser associadas às doenças pneumocócicas.

Se quiser saber mais sobre o calendário vacinal, indicações ou outras vacinas do Programa Nacional de Imunizações do Ministério da Saúde, posso te ajudar! Tem mais alguma dúvida?","A vacina visa proteger contra as doenças causadas pelo Streptococcus pneumoniae (pneumococo) sorotipos 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F e 33F e das frequentes graves sequelas deixadas pelas doenças pneumocócicas ",Vacina pneumocócica 20 -valente (conjugada) VPC20),0,1,0,0,16.07,factual_correctness(mode=f1),0.67,ragas
A VPC20 (vacina pneumocócica conjugada 20-valente) imuniza contra que doença?,"A vacina pneumocócica conjugada vinte-valente (VPC20) protege contra doenças causadas pela bactéria Streptococcus pneumoniae, conhecida como pneumococo.

Ela abrange vinte sorotipos diferentes dessa bactéria, prevenindo infecções como:

Pneumonia
Meningite
Otite média aguda
Sinusite
Sepse (infecção generalizada)

Essas doenças podem causar complicações graves, especialmente em crianças, idosos e pessoas com condições de saúde específicas.

Se quiser saber mais sobre o Programa Nacional de Imunizações, outras vacinas ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","A vacina visa proteger contra as doenças causadas pelo Streptococcus pneumoniae (pneumococo) sorotipos 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F e 33F e das frequentes graves sequelas deixadas pelas doenças pneumocócicas ",Vacina pneumocócica 20 -valente (conjugada) VPC20),0,1,0,0,16.08,factual_correctness(mode=f1),0.76,ragas
A aplicação da vacina contra o HPV induz ao início da vida sexual mais cedo?,"Não, não existe nenhuma evidência de que a aplicação da vacina contra o HPV induza ao início da vida sexual mais cedo. A vacina é uma medida de prevenção em saúde, recomendada pelo Ministério da Saúde dentro do Programa Nacional de Imunizações.

Se quiser saber mais sobre a vacina contra o HPV, o calendário vacinal ou outros temas relacionados ao Programa Nacional de Imunizações e ao Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?",Não. Não há nenhuma evidência de que a vacina mude o comportamento sexual dos adolescentes. Ela serve como medida de prevenção em saúde. Saiba mais no link Google Acadêmico <https://doi.org/10.1590/S0100-72032007001100006>.,Vacina HPV,0,1,0,0,14.52,factual_correctness(mode=f1),0.57,ragas
A aplicação da vacina do HPV reduz o risco de desenvolvimento de câncer de colo uterino?,"Sim, a aplicação da vacina contra o HPV reduz de forma significativa o risco de desenvolvimento de câncer de colo do útero.

Quando há uma alta cobertura vacinal e o rastreamento regular é realizado, a vacinação pode contribuir para a eliminação do câncer do colo do útero como um problema de saúde pública, conforme orientações da Organização Mundial da Saúde.

Se quiser saber mais sobre o Programa Nacional de Imunizações, outras vacinas ou detalhes sobre o calendário vacinal, posso ajudar! Tem mais alguma dúvida?","Sim. Quando combinada com alta cobertura vacinal e rastreamento regular, a vacinação pode levar à eliminação do câncer do colo do útero como problema de saúde pública, objetivo estabelecido pela Organização Mundial da Saúde. Saiba mais no link <https://www.who.int/initiatives/cervical-cancer-elimination-initiative>.",Vacina HPV,0,1,0,0,14.23,factual_correctness(mode=f1),0.57,ragas
A aplicação da vacina para prevenção do HPV resulta em problemas de saúde graves?,"A vacina para prevenção do HPV é considerada segura pelo Ministério da Saúde. Os efeitos adversos mais comuns são leves, como dor no local da aplicação ou febre baixa.

Casos de problemas de saúde graves relacionados à vacina são extremamente raros e, de modo geral, a vacinação é monitorada continuamente para garantir a segurança da população.

Se você tiver dúvidas sobre reações específicas ou apresentar sintomas após a vacinação, é importante procurar orientação médica.

Se quiser saber mais sobre o Programa Nacional de Imunizações, outras vacinas ou sobre o Programa Farmácia Popular, posso ajudar!","Não. A vacina é considerada segura e é monitorada continuamente por autoridades de saúde no mundo inteiro. Os efeitos adversos são geralmente leves, como dor no local da aplicação ou febre baixa. Saiba mais no link <https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/setembro/a-vacina-contra-hpv-e-segura-para-criancas-e-adolescentes>",Vacina HPV,0,1,0,0,14.71,factual_correctness(mode=f1),0.71,ragas
A aplicação da vacina pode resultar em reações?,"Sim, a aplicação de vacinas pode resultar em reações, mas geralmente são leves e temporárias. As reações mais comuns incluem:

Dor no local da aplicação
Vermelhidão ou inchaço
Febre baixa

Essas reações são sinais de que o organismo está desenvolvendo imunidade e costumam desaparecer rapidamente.

As vacinas são seguras e fundamentais para a proteção da saúde. Caso ocorra qualquer evento adverso após a vacinação, é importante comunicar a equipe de saúde da Unidade Básica de Saúde (UBS) para avaliação e orientação adequada.

Se quiser saber mais sobre reações específicas de alguma vacina ou sobre o Programa Nacional de Imunizações, posso ajudar! Tem interesse em algum imunizante ou tema específico?","Sim, como qualquer outro medicamento, a vacina pode causar alguma reação. No entanto, em sua grande maioria, as reações são leves e temporárias. Sintomas como dor no local da aplicação ou febre baixa são sinais de que seu corpo está construindo proteção e geralmente desaparecem em pouco tempo. Vacinas são seguras e salvam vidas. As reações que ocorrem após uma vacinação são denominadas ""eventos supostamente atribuidos à vacinação - ESAVI"". Entende-se por ESAVI qualquer ocorrência clínica indesejável em pessoa que tenha recebido algum imunobiológico. Eles podem ser coincidentes ou estar relacionados à composição da vacina, aos indivíduos vacinados, à técnica usada em sua administração. É importante lembrar que nem sempre o evento tem relação causal com a vacinação. Eventos adversos podem ocorrer e diante deles é necessário agir notificando à equipe do posto de saúde, investigando e esclarecendo. Graças à vacinação, milhões de pessoas foram salvas e tiveram a oportunidade de viver com mais saúde, por mais tempo e de forma melhor. Saiba mais no link <https://www.gov.br/saude/pt-br/vacinacao>.",Informações Gerais,0,1,0,0,16.2,factual_correctness(mode=f1),0.58,ragas
A drogaria n quis reconhecer meus documentos em dia. Como devo proceder?,"Se a farmácia recusou seus documentos válidos para acesso ao Programa Farmácia Popular, siga estes passos:

Solicite ao responsável da farmácia que revise a orientação, explicando que seus documentos estão em dia.
Caso o problema continue, registre uma reclamação na Ouvidoria-Geral do SUS.

O Programa Farmácia Popular, conforme o Ministério da Saúde, determina que as farmácias devem aceitar documentos oficiais com foto e CPF, ou documentos de identidade que contenham o CPF. Também devem reconhecer prescrições e documentos em formato físico ou eletrônico, conforme as normas vigentes.

Se precisar de mais informações sobre o Programa Farmácia Popular ou sobre vacinas e o Programa Nacional de Imunizações, posso ajudar! Deseja saber mais sobre algum desses temas?","Se a farmácia se recusar a aceitar documentação válida prevista nas regras do Programa, você pode solicitar revisão da orientação no próprio estabelecimento e registrar reclamação na Ouvidoria-Geral do SUS. As orientações do programa informam que a farmácia deve aceitar documento oficial com foto e CPF, ou documento de identidade em que conste o CPF, e também reconhecem documentos e prescrições em formato físico ou eletrônico, conforme as exigências legais.","Denúncias, Reclamações e Segurança",0,1,0,0,16.05,factual_correctness(mode=f1),0.88,ragas
