metrica,media,desvio_padrao,contagem,cnt_=0,pct_=0,cnt_>0_<0.1,pct_>0_<0.1,cnt_>=0.1_<0.2,pct_>=0.1_<0.2,cnt_>=0.2_<0.3,pct_>=0.2_<0.3,cnt_>=0.3_<0.4,pct_>=0.3_<0.4,cnt_>=0.4_<0.5,pct_>=0.4_<0.5,cnt_>=0.5_<0.6,pct_>=0.5_<0.6,cnt_>=0.6_<0.7,pct_>=0.6_<0.7,cnt_>=0.7_<0.8,pct_>=0.7_<0.8,cnt_>=0.8_<0.9,pct_>=0.8_<0.9,cnt_>=0.9,pct_>=0.9,categoria
answer_correctness,0.6,0.2,1743,0,0.0,32,1.8,54,3.1,18,1.0,55,3.2,149,8.6,287,16.5,410,23.5,375,21.5,260,14.9,103,5.9,geral
answer_correctness,0.6,0.2,59,0,0.0,4,6.8,0,0.0,2,3.4,2,3.4,10,17.0,8,13.6,8,13.6,12,20.3,12,20.3,1,1.7,tema:Ciclos de Retirada e Limites de Quantidade
answer_correctness,0.5,0.3,62,0,0.0,10,16.1,5,8.1,0,0.0,0,0.0,2,3.2,5,8.1,17,27.4,17,27.4,5,8.1,1,1.6,"tema:Denúncias, Reclamações e Segurança"
answer_correctness,0.5,0.3,60,0,0.0,3,5.0,18,30.0,0,0.0,0,0.0,4,6.7,12,20.0,12,20.0,7,11.7,4,6.7,0,0.0,tema:Dispensação por Terceiros
answer_correctness,0.7,0.2,61,0,0.0,0,0.0,5,8.2,0,0.0,0,0.0,3,4.9,13,21.3,6,9.8,18,29.5,13,21.3,3,4.9,tema:Elegibilidade e Requisitos de Acesso
answer_correctness,0.7,0.2,99,0,0.0,1,1.0,2,2.0,0,0.0,3,3.0,7,7.1,10,10.1,33,33.3,24,24.2,15,15.2,4,4.0,tema:Elenco de Medicamentos e Patologias
answer_correctness,0.5,0.1,55,0,0.0,0,0.0,0,0.0,0,0.0,4,7.3,17,30.9,18,32.7,11,20.0,5,9.1,0,0.0,0,0.0,tema:Fraldas Geriátricas
answer_correctness,0.7,0.2,263,0,0.0,1,0.4,1,0.4,2,0.8,5,1.9,18,6.8,47,17.9,65,24.7,69,26.2,35,13.3,20,7.6,tema:Informações Gerais
answer_correctness,0.6,0.1,62,0,0.0,1,1.6,0,0.0,2,3.2,1,1.6,7,11.3,14,22.6,26,41.9,8,12.9,2,3.2,1,1.6,tema:Localização e Credenciamento de Farmácias
answer_correctness,0.6,0.2,60,0,0.0,1,1.7,1,1.7,0,0.0,0,0.0,3,5.0,10,16.7,28,46.7,10,16.7,6,10.0,1,1.7,tema:Programa Dignidade Menstrual
answer_correctness,0.6,0.2,50,0,0.0,2,4.0,1,2.0,0,0.0,0,0.0,7,14.0,11,22.0,16,32.0,10,20.0,2,4.0,1,2.0,tema:Regras para Prescrições e Receituários
