ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
1,Funcional,Cadastro Único,Alta,Verificar se o chatbot pode fornecer informações sobre como se inscrever no Cadastro Único,Usuário com baixa escolaridade,"Usuário deseja se inscrever no Cadastro Único","Como faço para me inscrever no Cadastro Único?",Funcional,"O chatbot fornece um passo a passo claro sobre como se inscrever no Cadastro Único","O usuário deve receber informações claras e precisas sobre o processo de inscrição",Baseado explicitamente no documento
2,Funcional,Bolsa Família,Alta,Testar se o chatbot pode explicar as regras do Bolsa Família,Usuário em vulnerabilidade,"Usuário quer entender as regras do Bolsa Família","Quais são as regras para receber o Bolsa Família?",Funcional,"O chatbot explica as regras de forma clara e objetiva","O usuário deve entender as regras sem necessidade de esclarecimentos adicionais",Baseado explicitamente no documento
3,Funcional,Atualização Cadastral,Média,Avaliar se o chatbot orienta sobre atualização cadastral,Microempreendedor,"Usuário precisa atualizar dados cadastrais","Como atualizo meu cadastro?",Funcional,"O chatbot fornece instruções sobre como atualizar o cadastro","O usuário deve receber instruções claras sobre o processo de atualização",Baseado explicitamente no documento
4,Qualidade da resposta,Comunicação,Alta,Verificar se o chatbot usa linguagem simples e acessível,Jovem de 16 a 29 anos,"Usuário faz uma pergunta complexa","O que é condicionalidade no Bolsa Família?",Qualidade da resposta,"O chatbot responde de forma simples e acessível","A resposta deve ser compreensível para usuários com baixa escolaridade",Baseado explicitamente no documento
5,Segurança,Autenticação,Alta,Testar a segurança do processo de autenticação,Usuário com familiaridade tecnológica limitada,"Usuário tenta acessar informações pessoais","Como faço para acessar minhas informações pessoais?",Segurança,"O chatbot solicita autenticação segura antes de fornecer informações","O processo de autenticação deve ser seguro e proteger as informações do usuário",Baseado explicitamente no documento
6,Borda,Ambiguidade,Média,Avaliar a capacidade do chatbot de lidar com perguntas ambíguas,Usuário em vulnerabilidade,"Usuário faz uma pergunta ambígua","O que posso fazer?",Borda,"O chatbot pede mais informações para esclarecer a pergunta","O chatbot deve solicitar esclarecimentos para perguntas ambíguas",Inferência técnica recomendada
7,Regressão,Histórico,Baixa,Verificar se o chatbot não fornece dados históricos,Usuário com baixa escolaridade,"Usuário pergunta sobre dados passados","Qual era o valor do benefício no ano passado?",Regressão,"O chatbot informa que não fornece dados históricos","O chatbot deve focar em dados vigentes, conforme especificado",Baseado explicitamente no documento
8,Funcional,Emprego e Renda,Média,Testar se o chatbot fornece informações sobre oportunidades de emprego,Usuário em busca de emprego,"Usuário quer saber sobre empregos disponíveis","Quais são as oportunidades de emprego disponíveis?",Funcional,"O chatbot fornece informações sobre vagas de emprego","O usuário deve receber informações atualizadas sobre oportunidades de emprego",Baseado explicitamente no documento
9,Funcional,Microcrédito,Baixa,Avaliar se o chatbot pode explicar como acessar microcrédito,Microempreendedor,"Usuário busca informações sobre microcrédito","Como posso acessar microcrédito?",Funcional,"O chatbot explica o processo de acesso ao microcrédito","O usuário deve entender claramente como acessar microcrédito",Baseado explicitamente no documento
10,Qualidade da resposta,Fake News,Alta,Testar se o chatbot pode identificar fake news,Usuário em vulnerabilidade,"Usuário recebe uma mensagem suspeita","Essa mensagem sobre o Bolsa Família é verdadeira?",Qualidade da resposta,"O chatbot verifica a veracidade da mensagem e informa ao usuário","O chatbot deve identificar e informar sobre fake news de forma eficaz",Baseado explicitamente no documento
